Questions,Answers,b,c,v,id,Text
Which book of prophecy was the Ethiopian eunuch reading from?,Isaiah,44,8,30,44008030,"So Philip ran to him and heard him reading Isaiah the prophet and asked, ""Do you understand what you are reading?"""
Who decreed that a census of the entire Roman world should be taken at the time of Jesus' birth?,Augustus Caesar,42,2,1,42002001,In those days a decree went out from Caesar Augustus that all the world should be registered.
"Which woman who was ""full of good works and acts of charity"" was raised from the dead by Peter at Lydda?",Tabitha,44,9,40,44009040,"But Peter put them all outside, and knelt down and prayed; and turning to the body he said, ""Tabitha, arise."" And she opened her eyes, and when she saw Peter she sat up."
"What was on the head of the woman ""clothed with the sun""?",A crown of twelve stars,66,12,1,66012001,"And a great sign appeared in heaven:a woman clothed with the sun, with the moon under her feet, and on her head a crown of twelve stars."
How did Uriah Bathsheba's husband die?,Cut down after David instructed his men to abandon Uriah in battle,10,11,15,10011015,"In the letter he wrote, ""Set Uriah in the forefront of the hardest fighting, and then draw back from him, that he may be struck down, and die."""
When Paul was shipwrecked on Malta how many people on the ship drowned?,None,44,27,44,44027044,and the rest on planks or on pieces of the ship. And so it was that all were brought safely to land.
How did Jesus say true worshippers should worship God when he was talking to the woman at the well?,In spirit and truth,43,4,24,43004024,"God is spirit, and those who worship him must worship in spirit and truth."""
Which profession does Jesus compare himself to spiritually?,Shepherd,43,10,14,43010014,"I am the good shepherd. I know my own and my own know me,"
Under the Mosaic Law what was the punishment for someone who hit their father?,Death,2,21,15,2021015,"""Whoever strikes his father or his mother shall be put to death."
What presents did Pharaoh give to Joseph when he was given charge of Egypt?,His ring fine linen and a gold chain ,1,41,42,1041042,"Then Pharaoh took his signet ring from his hand and put it on Joseph's hand, and clothed him in garments of fine linen and put a gold chain about his neck."
What was taken off and handed over to signify the agreement between Boaz and the kinsman?,Sandal,8,4,8,8004008,"So when the redeemer said to Boaz, ""Buy it for yourself,"" he drew off his sandal."
Peacocks were imported by which king of Israel?,Solomon,11,10,22,11010022,"For the king had a fleet of ships of Tarshish at sea with the fleet of Hiram. Once every three years the fleet of ships of Tarshish used to come bringing gold, silver, ivory, apes, and peacocks."
Why did Boaz allow Ruth to glean in his field?,She had looked after Naomi,8,2,11,8002011,"But Boaz answered her, ""All that you have done for your mother-in-law since the death of your husband has been fully told to me, and how you left your father and mother and your native land and came to a people that you did not know before."
What punishment was Zacharias given for not believing the angel?,He was made dumb,42,1,20,42001020,"And behold, you will be silent and unable to speak until the day that these things take place, because you did not believe my words, which will be fulfilled in their time."""
Which direction did the scorching wind upon Jonah come from?,East,32,4,8,32004008,"When the sun rose, God appointed a scorching east wind, and the sun beat down on the head of Jonah so that he was faint. And he asked that he might die and said, ""It is better for me to die than to live."""
Why did the kinsman not want to marry Ruth? ,Didn't want to spoil his inheritance ,8,4,6,8004006,"Then the redeemer said, ""I cannot redeem it for myself, lest I impair my own inheritance. Take my right of redemption yourself, for I cannot redeem it."""
Who did Mary suppose Jesus to be at first after the resurrection?,Gardener,43,20,15,43020015,"Jesus said to her, ""Woman, why are you weeping? Whom are you seeking?"" Supposing him to be the gardener, she said to him, ""Sir, if you have carried him away, tell me where you have laid him, and I will take him away."""
How did Jesus reveal the one who would betray him?,Dipped a piece of bread and passed it to him,43,13,26,43013026,"Jesus answered, ""It is he to whom I will give this morsel of bread when I have dipped it."" So when he had dipped the morsel, he gave it to Judas, the son of Simon Iscariot."
Who appeared with Jesus at the transfiguration?,Elijah and Moses,40,17,3,40017003,"And behold, there appeared to them Moses and Elijah, talking with him."
Who prayed for the fiery serpents to be taken away from Israel?,Moses,4,21,7,4021007,"And the people came to Moses and said, ""We have sinned, for we have spoken against the LORD and against you. Pray to the LORD, that he take away the serpents from us."" So Moses prayed for the people."
Which married couple did Paul become friends with at Corinth?,Aquila and Priscilla ,44,18,2,44018002,"And he found a Jew named Aquila, a native of Pontus, recently come from Italy with his wife Priscilla, because Claudius had commanded all the Jews to leave Rome. And he went to see them,"
Who persuaded Delilah to betray Samson?,Lords of the Philistines ,7,16,5,7016005,"And the lords of the Philistines came up to her and said to her, ""Seduce him, and see where his great strength lies, and by what means we may overpower him, that we may bind him to humble him. And we will each give you 1,100 pieces of silver."""
How many silver pieces would each Philistine lord give to Delilah if she betrayed Samson?,1100,7,16,5,7016005,"And the lords of the Philistines came up to her and said to her, ""Seduce him, and see where his great strength lies, and by what means we may overpower him, that we may bind him to humble him. And we will each give you 1,100 pieces of silver."""
When Jesus died for how long was there darkness over the land?,Three hours,42,23,44,42023044,"It was now about the sixth hour, and there was darkness over the whole land until the ninth hour,"
What service did Nehemiah perform for King Artaxerxes?,Cupbearer,16,1,11,16001011,"O Lord, let your ear be attentive to the prayer of your servant, and to the prayer of your servants who delight to fear your name, and give success to your servant today, and grant him mercy in the sight of this man.""Now I was cupbearer to the king."
Who became nurse to Ruth's son? ,Naomi,8,4,16,8004016,Then Naomi took the child and laid him on her lap and became his nurse.
According to the law why could the Israelites not eat blood?,"God said ""the blood is the life."" ",5,12,23,5012023,"Only be sure that you do not eat the blood, for the blood is the life, and you shall not eat the life with the flesh."
What killed the plant that God had provided Jonah for shade?,A worm,32,4,7,32004007,"But when dawn came up the next day, God appointed a worm that attacked the plant, so that it withered."
What did the prophet Micah say about Jesus' birth?,He would be born in Bethlehem ,33,5,2,33005002,"But you, O Bethlehem Ephrathah, who are too little to be among the clans of Judah, from you shall come forth for me one who is to be ruler in Israel, whose origin is from of old, from ancient days."
In which tribe was the city of Bethlehem?,Judah,33,5,2,33005002,"But you, O Bethlehem Ephrathah, who are too little to be among the clans of Judah, from you shall come forth for me one who is to be ruler in Israel, whose origin is from of old, from ancient days."
What did John do with the little book he took from the angel?,He ate it,66,10,10,66010010,"And I took the little scroll from the hand of the angel and ate it. It was sweet as honey in my mouth, but when I had eaten it my stomach was made bitter."
What was Peter doing when he denied Jesus for the second time?,Warming himself by a fire,43,18,25,43018025,"Now Simon Peter was standing and warming himself. So they said to him, ""You also are not one of his disciples, are you?"" He denied it and said, ""I am not."""
What did Jonah do while he waited to see Nineveh's fate?,He sat down on the East of the city and made a shelter,32,4,5,32004005,"Jonah went out of the city and sat to the east of the city and made a booth for himself there. He sat under it in the shade, till he should see what would become of the city."
Who carried the cross for Christ?,Simon of Cyrene,40,27,32,40027032,"As they went out, they found a man of Cyrene, Simon by name. They compelled this man to carry his cross."
On which mountain range did Noah's ark come to rest?,Ararat,1,8,4,1008004,"and in the seventh month, on the seventeenth day of the month, the ark came to rest on the mountains of Ararat."
Which two tribes of Israel were not named after sons of Jacob?,Ephraim and Manasseh,6,14,4,6014004,"For the people of Joseph were two tribes, Manasseh and Ephraim. And no portion was given to the Levites in the land, but only cities to dwell in, with their pasturelands for their livestock and their substance."
What did the Queen of Sheba give to Solomon?,(120 talents of) gold spices and precious stones,11,10,10,11010010,"Then she gave the king 120 talents of gold, and a very great quantity of spices and precious stones. Never again came such an abundance of spices as these that the queen of Sheba gave to King Solomon."
What should Philemon do if his slave owed him anything?,Charge it to Paul,57,1,18,57001018,"If he has wronged you at all, or owes you anything, charge that to my account."
What should you not cook a young goat in?,Its mother's milk,2,23,19,2023019,"""The best of the firstfruits of your ground you shall bring into the house of the LORD your God.""You shall not boil a young goat in its mother's milk."
What did Boaz say Naomi was selling?,A parcel of land,8,4,3,8004003,"Then he said to the redeemer, ""Naomi, who has come back from the country of Moab, is selling the parcel of land that belonged to our relative Elimelech."
Abram was rich in gold silver and what else?,Cattle,1,13,2,1013002,"Now Abram was very rich in livestock, in silver, and in gold."
How much of Elijah's spirit did Elisha receive?,Double,12,2,9,12002009,"When they had crossed, Elijah said to Elisha, ""Ask what I shall do for you, before I am taken from you."" And Elisha said, ""Please let there be a double portion of your spirit on me."""
What was unusual about the 700 Benjamite soldiers who could sling a stone and hit their target every time?,They were all left-handed,7,20,16,7020016,Among all these were 700 chosen men who were left-handed; every one could sling a stone at a hair and not miss.
What relation was Annas to Caiaphas?,Father-in-law,43,18,13,43018013,"First they led him to Annas, for he was the father-in-law of Caiaphas, who was high priest that year."
Who was the father in law of Caiaphas the high priest at the time of Jesus death?,Annas,43,18,13,43018013,"First they led him to Annas, for he was the father-in-law of Caiaphas, who was high priest that year."
"According to James what is ""pure and undefiled religion""?",To visit the fatherless and widows and to keep yourself unspotted from the world,59,1,27,59001027,"Religion that is pure and undefiled before God, the Father, is this:to visit orphans and widows in their affliction, and to keep oneself unstained from the world."
When in prison at what time did Paul and Silas pray and sing to God?,Midnight,44,16,25,44016025,"About midnight Paul and Silas were praying and singing hymns to God, and the prisoners were listening to them,"
What did Daniel and his three friends eat instead of the king's meat and drink?,Pulses and water,27,1,12,27001012,"""Test your servants for ten days; let us be given vegetables to eat and water to drink."
"What did Jesus say is the ""greatest commandment in the law""?",To love God with all your heart soul and mind,41,12,29,41012029,"Jesus answered, ""The most important is, 'Hear, O Israel:The Lord our God, the Lord is one."
What did God count Abram's faith to him as?,Righteousness,1,15,6,1015006,"And he believed the LORD, and he counted it to him as righteousness."
What sin stopped Moses from leading the children of Israel into the Promised Land?,Hitting a rock twice,4,20,11,4020011,"And Moses lifted up his hand and struck the rock with his staff twice, and water came out abundantly, and the congregation drank, and their livestock."
Whose hair when cut annually weighed two hundred shekels by the king's weight?,Absalom,10,14,26,10014026,"And when he cut the hair of his head (for at the end of every year he used to cut it; when it was heavy on him, he cut it), he weighed the hair of his head, two hundred shekels by the king's weight."
During what traumatic event did the apostle Paul take bread and give thanks?,Sea voyage,44,27,35,44027035,"And when he had said these things, he took bread, and giving thanks to God in the presence of all he broke it and began to eat."
What was the sign that the angels gave to the shepherds so that they would recognize Jesus?,Wrapped in swaddling clothes lying in a manger,42,2,12,42002012,"And this will be a sign for you:you will find a baby wrapped in swaddling cloths and lying in a manger."""
Who was to be named Zacharias after the name of his father until his mother intervened?,John,42,1,60,42001060,"but his mother answered, ""No; he shall be called John."""
How long had the invalid man lain at the pool of Bethesda?,Thirty-eight years,43,5,5,43005005,One man was there who had been an invalid for thirty-eight years.
"What ""doeth good like a medicine""?",A merry heart,20,17,22,20017022,"A joyful heart is good medicine, but a crushed spirit dries up the bones."
What lie was told about Naboth that led to him being stoned and Ahab taking possession of his vineyard?,He had blasphemed against God and the king,11,21,10,11021010,"And set two worthless men opposite him, and let them bring a charge against him, saying, 'You have cursed God and the king.' Then take him out and stone him to death."""
Which supernatural being or beings does the Bible say the Sadducees did not believe in?,Angels,44,23,8,44023008,"For the Sadducees say that there is no resurrection, nor angel, nor spirit, but the Pharisees acknowledge them all."
Who won the hand of Caleb's daughter Achsah?,Othniel,6,15,17,6015017,"And Othniel the son of Kenaz, the brother of Caleb, captured it. And he gave him Achsah his daughter as wife."
"What is the ""light of the body""?",The eye,40,6,22,40006022,"""The eye is the lamp of the body. So, if your eye is healthy, your whole body will be full of light,"
"You will be healed if you ""pray for one another"" and what else?",Confess your faults,59,5,16,59005016,"Therefore, confess your sins to one another and pray for one another, that you may be healed. The prayer of a righteous person has great power as it is working."
"According to James what should we do after ""confessing our faults to one another""?",Pray for one another ,59,5,16,59005016,"Therefore, confess your sins to one another and pray for one another, that you may be healed. The prayer of a righteous person has great power as it is working."
What is in the hypocrite's eye?,A beam,40,7,5,40007005,"You hypocrite, first take the log out of your own eye, and then you will see clearly to take the speck out of your brother's eye."
In which book of prophecy do we read about the valley of dry bones?,Ezekiel,26,37,1,26037001,"The hand of the LORD was upon me, and he brought me out in the Spirit of the LORD and set me down in the middle of the valley; it was full of bones."
Which baby was named after his mother's laughter?,Isaac,1,21,6,1021006,"And Sarah said, ""God has made laughter for me; everyone who hears will laugh over me."""
Demetrius of Ephesus was a...?,Silversmith,44,19,24,44019024,"For a man named Demetrius, a silversmith, who made silver shrines of Artemis, brought no little business to the craftsmen."
What was the name of the temple gate at which the lame man was laid daily?,Beautiful Gate,44,3,2,44003002,"And a man lame from birth was being carried, whom they laid daily at the gate of the temple that is called the Beautiful Gate to ask alms of those entering the temple."
Of what did Peter and John heal the man at the temple gate called Beautiful?,Lameness,44,3,2,44003002,"And a man lame from birth was being carried, whom they laid daily at the gate of the temple that is called the Beautiful Gate to ask alms of those entering the temple."
To which Jewish sect did Nicodemus belong?,Pharisees,43,3,1,43003001,"Now there was a man of the Pharisees named Nicodemus, a ruler of the Jews."
To which tribe did the apostle Paul belong?,Benjamin,45,11,1,45011001,"I ask, then, has God rejected his people? By no means! For I myself am an Israelite, a descendant of Abraham, a member of the tribe of Benjamin."
"How does James say we should ""wait for the coming of the Lord""?",Patiently,59,5,7,59005007,"Be patient, therefore, brothers, until the coming of the Lord. See how the farmer waits for the precious fruit of the earth, being patient about it, until it receives the early and the late rains."
How old was Abraham when his son Isaac was born?,100,1,21,5,1021005,Abraham was a hundred years old when his son Isaac was born to him.
In the parable of the Pharisee and the Publican what did the Pharisee thank God for?,That he was not sinful like other men ,42,18,11,42018011,"The Pharisee, standing by himself, prayed thus:'God, I thank you that I am not like other men, extortioners, unjust, adulterers, or even like this tax collector."
How many times did Jesus say you should forgive your brother when he sins against you?,Seventy times seven,40,18,22,40018022,"Jesus said to him, ""I do not say to you seven times, but seventy times seven."
What question concerning marriage did the Pharisees use to tempt Jesus?,Is it lawful for a man to put away his wife?,40,19,3,40019003,"And Pharisees came up to him and tested him by asking, ""Is it lawful to divorce one's wife for any cause?"""
"How does Paul tell us to ""work out our own salvation""?",With fear and trembling,50,2,12,50002012,"Therefore, my beloved, as you have always obeyed, so now, not only as in my presence but much more in my absence, work out your own salvation with fear and trembling,"
In the parable of the cloth and wine why does no man put new wine into old bottles?,It will burst the bottles,42,5,37,42005037,"And no one puts new wine into old wineskins. If he does, the new wine will burst the skins and it will be spilled, and the skins will be destroyed."
In which city did King Herod live at the time of Jesus' birth?,Jerusalem,40,2,3,40002003,"When Herod the king heard this, he was troubled, and all Jerusalem with him;"
"What is the ""root of all evil""?",Love of money,54,6,10,54006010,For the love of money is a root of all kinds of evils. It is through this craving that some have wandered away from the faith and pierced themselves with many pangs.
What does the law say to do when you see a bird in its nest?,Let the mother bird go free ,5,22,6,5022006,"""If you come across a bird's nest in any tree or on the ground, with young ones or eggs and the mother sitting on the young or on the eggs, you shall not take the mother with the young."
Which tribe of Israel received no inheritance of land?,Levi,5,10,9,5010009,"Therefore Levi has no portion or inheritance with his brothers. The LORD is his inheritance, as the LORD your God said to him.)"
In Nebuchadnezzar's dream what happened to destroy the statue made from different metals?,A stone hit the feet and broke them into pieces,27,2,34,27002034,"As you looked, a stone was cut out by no human hand, and it struck the image on its feet of iron and clay, and broke them in pieces."
Which King took possession of Naboth's vineyard?,Ahab,11,21,16,11021016,"And as soon as Ahab heard that Naboth was dead, Ahab arose to go down to the vineyard of Naboth the Jezreelite, to take possession of it."
For how many days did Jesus appear to his disciples after his resurrection?,Forty,44,1,3,44001003,"To them he presented himself alive after his suffering by many proofs, appearing to them during forty days and speaking about the kingdom of God."
How many churches of Asia Minor were listed in Revelation?,Seven,66,1,11,66001011,"saying, ""Write what you see in a book and send it to the seven churches, to Ephesus and to Smyrna and to Pergamum and to Thyatira and to Sardis and to Philadelphia and to Laodicea."""
What object did Gideon place on the ground to receive a sign from God?,Fleece,7,6,37,7006037,"behold, I am laying a fleece of wool on the threshing floor. If there is dew on the fleece alone, and it is dry on all the ground, then I shall know that you will save Israel by my hand, as you have said."""
In which city in Judah did Cyrus tell the Israelites to build the temple?,Jerusalem,15,6,3,15006003,"In the first year of Cyrus the king, Cyrus the king issued a decree:Concerning the house of God at Jerusalem, let the house be rebuilt, the place where sacrifices were offered, and let its foundations be retained. Its height shall be sixty cubits and its breadth sixty cubits,"
What affliction did Paul strike Elymas the sorcerer down with?,Blindness,44,13,11,44013011,"And now, behold, the hand of the Lord is upon you, and you will be blind and unable to see the sun for a time."" Immediately mist and darkness fell upon him, and he went about seeking people to lead him by the hand."
Who was Boaz a kinsman of?,Elimelech,8,2,1,8002001,"Now Naomi had a relative of her husband's, a worthy man of the clan of Elimelech, whose name was Boaz."
What animals were carved on Solomon's throne?,Lions,11,10,19,11010019,"The throne had six steps, and at the back of the throne was a calf's head, and on each side of the seat were armrests and two lions standing beside the armrests,"
What did Jesus and the disciples have for breakfast when Jesus appeared to them after the resurrection by the Sea of Tiberias?,Bread and fish,43,21,13,43021013,"Jesus came and took the bread and gave it to them, and so with the fish."
Which woman was a seller of purple goods? ,Lydia,44,16,14,44016014,"One who heard us was a woman named Lydia, from the city of Thyatira, a seller of purple goods, who was a worshiper of God. The Lord opened her heart to pay attention to what was said by Paul."
What does Lydia of the city of Thyatira sell?,Purple,44,16,14,44016014,"One who heard us was a woman named Lydia, from the city of Thyatira, a seller of purple goods, who was a worshiper of God. The Lord opened her heart to pay attention to what was said by Paul."
What were the restrictions on marriage for the daughters of Zelophehad?,They must marry within their tribe ,4,36,6,4036006,"This is what the LORD commands concerning the daughters of Zelophehad, 'Let them marry whom they think best, only they shall marry within the clan of the tribe of their father."
How did Moses assure victory against the Amalekites?,Kept his hands held up,2,17,11,2017011,"Whenever Moses held up his hand, Israel prevailed, and whenever he lowered his hand, Amalek prevailed."
What was the occupation of Hosea's wife? ,Harlot,28,1,2,28001002,"When the LORD first spoke through Hosea, the LORD said to Hosea, ""Go, take to yourself a wife of whoredom and have children of whoredom, for the land commits great whoredom by forsaking the LORD."""
In the Sermon on the Mount what does Jesus say you should do when you fast?,Anoint your head and wash your face ,40,6,18,40006018,that your fasting may not be seen by others but by your Father who is in secret. And your Father who sees in secret will reward you.
Which church did Jesus accuse of being lukewarm?,Laodicea,66,3,16,66003016,"So, because you are lukewarm, and neither hot nor cold, I will spit you out of my mouth."
Why are the Thessalonians told not to worry about those Christians who have died?,They will be raised to life again ,52,4,14,52004014,"For since we believe that Jesus died and rose again, even so, through Jesus, God will bring with him those who have fallen asleep."
In the parable of the sower what happened to the seed that fell on the path?,Eaten by birds,40,13,4,40013004,"And as he sowed, some seeds fell along the path, and the birds came and devoured them."
What was the name of the man who requested Jesus' body for burial?,Joseph,40,27,57,40027057,"When it was evening, there came a rich man from Arimathea, named Joseph, who also was a disciple of Jesus."
How many Philistines did Samson say he had killed with the jawbone of a donkey?,1000,7,15,16,7015016,"And Samson said, ""With the jawbone of a donkey, heaps upon heaps, with the jawbone of a donkey have I struck down a thousand men."""
Who did Samuel anoint as the first King of Israel?,Saul,9,10,1,9010001,"Then Samuel took a flask of oil and poured it on his head and kissed him and said, ""Has not the LORD anointed you to be prince over his people Israel? And you shall reign over the people of the LORD and you will save them from the hand of their surrounding enemies. And this shall be the sign to you that the LORD has anointed you to be prince over his heritage."
What was mankind's first sin in the Bible?,Eating some fruit,1,3,6,1003006,"So when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit and ate, and she also gave some to her husband who was with her, and he ate."
What was the first bird released from the ark?,Raven,1,8,7,1008007,and sent forth a raven. It went to and fro until the waters were dried up from the earth.
What nationality was Timothy's father?,Greek,44,16,1,44016001,"Paul came also to Derbe and to Lystra. A disciple was there, named Timothy, the son of a Jewish woman who was a believer, but his father was a Greek."
"In Revelation what is the ""number of a man""?",666,66,13,18,66013018,"This calls for wisdom:let the one who has understanding calculate the number of the beast, for it is the number of a man, and his number is 666."
How many elders sat around the throne of God?,Twenty-four,66,4,4,66004004,"Around the throne were twenty-four thrones, and seated on the thrones were twenty-four elders, clothed in white garments, with golden crowns on their heads."
What order did Joshua give to God while fighting the Amorites?,Make the sun and moon stand still ,6,10,12,6010012,"At that time Joshua spoke to the LORD in the day when the LORD gave the Amorites over to the sons of Israel, and he said in the sight of Israel, ""Sun, stand still at Gibeon, and moon, in the Valley of Aijalon."""
How many years did the Lord add to Hezekiah's life after being healed of his sickness?,Fifteen,12,20,6,12020006,"and I will add fifteen years to your life. I will deliver you and this city out of the hand of the king of Assyria, and I will defend this city for my own sake and for my servant David's sake."""
What was the second plague upon Egypt? ,Frogs,2,8,6,2008006,"So Aaron stretched out his hand over the waters of Egypt, and the frogs came up and covered the land of Egypt."
Jesus was a high priest after the order of which ancient king mentioned in Psalm 110?,Melchizedek,19,110,4,19110004,"The LORD has sworn and will not change his mind, ""You are a priest forever after the order of Melchizedek."""
Which two provinces looked up to Thessalonica as an example?,Macedonia & Achaia,52,1,7,52001007,so that you became an example to all the believers in Macedonia and in Achaia.
Who was Noah's father?,Lamech,1,5,30,1005030,Lamech lived after he fathered Noah 595 years and had other sons and daughters.
Who did Pilate send Jesus to after he had interrogated him?,Herod,42,23,7,42023007,"And when he learned that he belonged to Herod's jurisdiction, he sent him over to Herod, who was himself in Jerusalem at that time."
Daniel had a dream about four things. What sort of things?,Beasts,27,7,3,27007003,"And four great beasts came up out of the sea, different from one another."
In the parable of the sower what did the seed that fell among thorns represent?,Those people who hear God's word but then it's choked out by worldly cares,40,13,22,40013022,"As for what was sown among thorns, this is the one who hears the word, but the cares of the world and the deceitfulness of riches choke the word, and it proves unfruitful."
Who was the father of Jonah?,Amittai,32,1,1,32001001,"Now the word of the LORD came to Jonah the son of Amittai, saying,"
What relation to Abram was Lot?,His nephew,1,14,12,1014012,"They also took Lot, the son of Abram's brother, who was dwelling in Sodom, and his possessions, and went their way."
"Who will the ""least person in the Kingdom of God"" be greater than?",John the Baptist,42,7,28,42007028,"I tell you, among those born of women none is greater than John. Yet the one who is least in the kingdom of God is greater than he."""
"""Hope deferred"" maketh what sick?",The heart,20,13,12,20013012,"Hope deferred makes the heart sick, but a desire fulfilled is a tree of life."
Who laid their hands on Saul of Tarsus curing him of the blindness he received on the road to Damascus?,Ananias,44,9,17,44009017,"So Ananias departed and entered the house. And laying his hands on him he said, ""Brother Saul, the Lord Jesus who appeared to you on the road by which you came has sent me so that you may regain your sight and be filled with the Holy Spirit."""
What did Joseph send to his father from Egypt?,Ten male donkeys and ten female donkeys laden with goods from Egypt,1,45,23,1045023,"To his father he sent as follows:ten donkeys loaded with the good things of Egypt, and ten female donkeys loaded with grain, bread, and provision for his father on the journey."
Who stole her father's household gods?,Rachel,1,31,32,1031032,"Anyone with whom you find your gods shall not live. In the presence of our kinsmen point out what I have that is yours, and take it."" Now Jacob did not know that Rachel had stolen them."
What was the fate of the man who had no wedding robe at the parable of the marriage feast?,Cast into darkness,40,22,13,40022013,"Then the king said to the attendants, 'Bind him hand and foot and cast him into the outer darkness. In that place there will be weeping and gnashing of teeth.'"
How long did Solomon reign over Israel?,Forty years,11,11,42,11011042,And the time that Solomon reigned in Jerusalem over all Israel was forty years.
In Psalm 52 the psalmist describes himself as what kind of tree in the house of God?,Olive,19,52,8,19052008,But I am like a green olive tree in the house of God. I trust in the steadfast love of God forever and ever.
Who was compared unfavorably to the lilies of the field?,King Solomon,40,6,29,40006029,"yet I tell you, even Solomon in all his glory was not arrayed like one of these."
Which region was specially noted for its balm?,Gilead,24,46,11,24046011,"Go up to Gilead, and take balm, O virgin daughter of Egypt! In vain you have used many medicines; there is no healing for you."
"What should the Thessalonians do with brethren who are ""not obeying the epistle's word""?",Have no company with them so that they are ashamed,53,3,14,53003014,"If anyone does not obey what we say in this letter, take note of that person, and have nothing to do with him, that he may be ashamed."
"Why should a father not ""provoke a child to anger""?",In case they become discouraged,51,3,21,51003021,"Fathers, do not provoke your children, lest they become discouraged."
What did God rain down on the Amorite army as they passed through Beth-Horon killing more of them than the Israelite army did?,Hailstones,6,10,11,6010011,"And as they fled before Israel, while they were going down the ascent of Beth-horon, the LORD threw down large stones from heaven on them as far as Azekah, and they died. There were more who died because of the hailstones than the sons of Israel killed with the sword."
While John was baptizing what did he call the Pharisees and Sadducees?,Generation of vipers,40,3,7,40003007,"But when he saw many of the Pharisees and Sadducees coming for baptism, he said to them, ""You brood of vipers! Who warned you to flee from the wrath to come?"
Whose son did Elijah raise from the dead?,The widow of Zarephath,11,17,22,11017022,"And the LORD listened to the voice of Elijah. And the life of the child came into him again, and he revived."
Which group of people stood and watched Jesus as he ascended into heaven?,Men of Galilee,44,1,11,44001011,"and said, ""Men of Galilee, why do you stand looking into heaven? This Jesus, who was taken up from you into heaven, will come in the same way as you saw him go into heaven."""
What object did Elisha cause to float?,Axe head,12,6,6,12006006,"Then the man of God said, ""Where did it fall?"" When he showed him the place, he cut off a stick and threw it in there and made the iron float."
By what name was the disciple Tabitha also known?,Dorcas,44,9,36,44009036,"Now there was in Joppa a disciple named Tabitha, which, translated, means Dorcas. She was full of good works and acts of charity."
From which land did Isaac tell Jacob not to take a wife?,Canaan,1,28,1,1028001,"Then Isaac called Jacob and blessed him and directed him, ""You must not take a wife from the Canaanite women."
How does Paul describe marriage in Hebrews? ,Honorable,58,13,4,58013004,"Let marriage be held in honor among all, and let the marriage bed be undefiled, for God will judge the sexually immoral and adulterous."
How old was Joseph when he began serving Pharaoh?,Thirty,1,41,46,1041046,Joseph was thirty years old when he entered the service of Pharaoh king of Egypt. And Joseph went out from the presence of Pharaoh and went through all the land of Egypt.
What did Ahab want to buy from Naboth?,His vineyard,11,21,2,11021002,"And after this Ahab said to Naboth, ""Give me your vineyard, that I may have it for a vegetable garden, because it is near my house, and I will give you a better vineyard for it; or, if it seems good to you, I will give you its value in money."""
Which living creatures in the water were deemed unclean?,Those without fins and scales,5,14,9,5014009,"""Of all that are in the waters you may eat these:whatever has fins and scales you may eat."
"What must a Christian do to ""earn their own bread to eat""?",Work quietly,53,3,12,53003012,Now such persons we command and encourage in the Lord Jesus Christ to do their work quietly and to earn their own living.
What was the name of the father of Caleb the spy?,Jephunneh,4,13,6,4013006,"from the tribe of Judah, Caleb the son of Jephunneh;"
Which apostle baptized the Ethiopian eunuch? ,Philip,44,8,38,44008038,"And he commanded the chariot to stop, and they both went down into the water, Philip and the eunuch, and he baptized him."
"Who promised the ""gift of power to tread on serpents and scorpions""?",Jesus,42,10,19,42010019,"Behold, I have given you authority to tread on serpents and scorpions, and over all the power of the enemy, and nothing shall hurt you."
Which king was saved from death by Abraham's prayer?,Abimelech,1,20,17,1020017,"Then Abraham prayed to God, and God healed Abimelech, and also healed his wife and female slaves so that they bore children."
What did Abram do when he heard that Lot was made a prisoner of war?,Fought to rescue him,1,14,14,1014014,"When Abram heard that his kinsman had been taken captive, he led forth his trained men, born in his house, 318 of them, and went in pursuit as far as Dan."
"Who sang ""My soul doth magnify the Lord""?",Mary,42,1,46,42001046,"And Mary said, ""My soul magnifies the Lord,"
At what place did the Israelites arrive only to find the water was too bitter to drink whereupon God caused it to become sweet?,Marah,2,15,23,2015023,"When they came to Marah, they could not drink the water of Marah because it was bitter; therefore it was named Marah."
"Which Psalm describes how well the Lord knows man starting with the line ""O Lord thou hast searched me and known me""?",Psalm 139,19,139,1,19139001,"O LORD, you have searched me and known me!"
When Moses blessed the tribes before his death to what animal did he compare Gad?,Lion,5,33,20,5033020,"And of Gad he said, ""Blessed be he who enlarges Gad! Gad crouches like a lion; he tears off arm and scalp."
When Saul defeated the Amalekites he disobeyed God and took possessions from the land. What was the name of the king he also spared?,Agag,9,15,9,9015009,"But Saul and the people spared Agag and the best of the sheep and of the oxen and of the fattened calves and the lambs, and all that was good, and would not utterly destroy them. All that was despised and worthless they devoted to destruction."
"What was Paul's ""distinguishing mark"" in the letters he wrote?",He wrote the greetings in his own handwriting,53,3,17,53003017,"I, Paul, write this greeting with my own hand. This is the sign of genuineness in every letter of mine; it is the way I write."
Which king had a feast using the gold and silver vessels taken from the temple in Jerusalem?,Belshazzar,27,5,2,27005002,"Belshazzar, when he tasted the wine, commanded that the vessels of gold and of silver that Nebuchadnezzar his father had taken out of the temple in Jerusalem be brought, that the king and his lords, his wives, and his concubines might drink from them."
"""The fear of the Lord is the beginning of knowledge but fools despise""... what?",Wisdom and instruction,20,1,7,20001007,The fear of the LORD is the beginning of knowledge; fools despise wisdom and instruction.
